name,total_run,run_90,generation_90,role,offtheball,workrate,fmrole
Christoffer Nyman,14.580662435746651,1.5312247598800452,1.2219771742113523,Forward,14,11,S
Nikola Djurdjic,9.182825542954932,1.352625693724949,0.4642604464959866,Forward,14,14,S
Kalle Holmberg,21.30049689190292,1.3014560219085285,0.8151943968546318,Forward,12,13,S
Antonio-Mirko Čolak,30.162224508956704,1.2756579914502366,0.734221278632692,Forward,13,12,S
Bojan Radulovic Samoukovic,8.948290378006968,1.2742818576275745,0.9485632676268632,Forward,11,12,S
Astrit Selmani,27.567584134050104,1.2645680795435827,0.6649077169300129,Forward,14,16,S
Jasse Tuominen,8.660609840013564,1.2391969564407326,0.7494868955329169,Forward,12,10,S
Christian Kouakou,33.40884064806316,1.2202904457490602,0.6743254089752325,Forward,13,11,S
Joel Asoro,12.34250529672531,1.1119374141193972,0.6197457323168274,Forward,11,11,AM
Per Frick,24.77505451128536,1.100027087328901,0.8776464676748906,Forward,13,15,S
Isak Jansson,14.384833234227264,1.0788624925670447,0.7067407798594768,Forward,13,11,AM
Marcus Antonsson,26.32948052450013,1.0379558682457346,0.6340403064384729,Forward,13,12,S
Agon Mehmeti,7.718709739535383,1.0067882268959196,0.5759748998498273,Forward,10,10,S
Jacob Ondrejka,8.477077584893738,1.0038644508426795,0.423872759150096,Forward,11,12,AM
Nils Fröling,19.395729807266854,1.003804302848773,0.2929991680661531,Forward,11,14,AM
Gustav Ludwigson,27.54362068150673,0.9899863663480852,0.5265070487715572,Forward,14,17,S
Marokhy Ndione,10.408113017459408,0.9891554082062792,0.5974162217525485,Forward,13,11,S
Samuel Adegbenro,24.18976582384688,0.9701777736836984,0.6586150056188642,Forward,13,9,S
Adi Nalić,16.777837254754765,0.9605632016080972,0.5924443479024964,Forward,12,12,AM
Akinkunmi Amoo,19.31503174786957,0.9386354521102924,0.4067116833590342,Forward,13,8,AM
Johan Bertilsson,17.536695762462774,0.9256906854085922,0.448601379971915,Forward,11,10,AM
Jeppe Okkels,20.54340759621497,0.9072162333951654,0.3760758452075459,Forward,11,12,AM
Jonathan Levi,19.11507860582549,0.903548883678726,0.4608402435935505,Forward,12,9,AM
Karim Sadat,19.145280210191128,0.8913994924558726,0.5730292296509214,Forward,12,12,S
