name,role,xg_90,age,team
Christoffer Nyman,Forward,0.7602500583430573,29,IFKNorrköpingFK
Nikola Djurdjic,Forward,0.3451810801963993,36,DegerforsIF
Kalle Holmberg,Forward,0.3923374949083503,29,Djurgården
Antonio-Mirko Čolak,Forward,0.7386177307330827,28,MalmöFF
Bojan Radulovic Samoukovic,Forward,0.4097420886075949,22,AIK
Astrit Selmani,Forward,0.5967693577981653,25,Hammarby
Jasse Tuominen,Forward,0.23423737678855325,26,BKHäcken
Christian Kouakou,Forward,0.48711715056818183,27,IKSiriusFK
Joel Asoro,Forward,0.3239654954954955,23,Djurgården
Per Frick,Forward,0.26470194375925005,30,IFElfsborg
Isak Jansson,Forward,0.338503875,20,KalmarFF
Marcus Antonsson,Forward,0.4982889618922471,30,Halmstad
Niklas Bärkroth,Midfielder,0.23771668058455114,30,Djurgården
Agon Mehmeti,Forward,0.31304869565217386,32,Örebro
Henok Goitom,Forward,0.2765817439703154,37,AIK
Jacob Ondrejka,Forward,0.24380988157894734,19,IFElfsborg
Nils Fröling,Forward,0.18165834962622196,22,KalmarFF
Gustav Ludwigson,Forward,0.33610970846645366,28,Hammarby
Marokhy Ndione,Forward,0.48587141499472025,22,IFElfsborg
Samuel Adegbenro,Forward,0.41581780748663105,26,IFKNorrköpingFK
Edward Chilufya,Forward,0.34484822587816805,22,Djurgården
Adi Nalić,Forward,0.4140867938931298,24,MalmöFF
Emmanuel Justine Rabby Banda,Midfielder,0.48304103649635033,24,Djurgården
Oliver Berg,Midfielder,0.27012816,28,KalmarFF
Veljko Birmančević,Midfielder,0.39254841050484457,24,MalmöFF
Akinkunmi Amoo,Forward,0.4873271598272139,19,Hammarby
Johan Bertilsson,Forward,0.4254323225806451,34,DegerforsIF
Jeppe Okkels,Forward,0.25207812070657504,22,IFElfsborg
Jonathan Levi,Forward,0.21374498949579834,26,IFKNorrköpingFK
Karim Sadat,Forward,0.3573397154681841,30,Halmstad
Alexander Bernhardsson,Forward,0.3477970628140703,23,IFElfsborg
Rasmus Alm,Forward,0.24726158562367864,26,IFElfsborg
Alexander Jeremejeff,Forward,0.6308065832961143,28,BKHäcken
Oscar Wilhelmsson,Forward,0.32582296153846146,18,IFKGöteborg
Søren  Krukow Rieks,Midfielder,0.35410091644204844,35,MalmöFF
Carl Björk,Forward,0.28271876075731495,22,IFKNorrköpingFK
Noah Shamoun,Forward,0.24684107142857142,19,KalmarFF
Sargon Abraham ,Forward,0.21055758041958042,31,DegerforsIF
Nabil Bahoui,Forward,0.4406721779420124,31,AIK
Gustaf Norlin,Forward,0.08591028037383178,25,IFKGöteborg
Victor Edvardsen,Forward,0.3032359734133791,26,DegerforsIF
Erik Lindell,Midfielder,0.031679473299195314,26,DegerforsIF
Jacob Bergström,Forward,0.5393845849802372,27,MjällbyAIF
Vladimir Rodić,Midfielder,0.10459090909090908,28,Hammarby
Yukiya Sugita,Forward,0.07621802249297094,29,IKSiriusFK
Jiloan Hamad,Midfielder,0.06621469217970048,31,Örebro
Williot Swedberg,Midfielder,0.35817476190476194,18,Hammarby
Jonathan Ring,Midfielder,0.2614819849137931,30,KalmarFF
Robin Simovic,Forward,0.1568095982142857,30,VarbergsBoISFC
Kolbeinn  Sigthórsson,Forward,0.33413527286702543,32,IFKGöteborg
Adam Ståhl,Midfielder,0.15232897225725095,27,IKSiriusFK
Nicolás Marcelo Stefanelli,Forward,0.4485524760164459,27,AIK
Jo Inge Berget,Forward,0.22618799999999997,31,MalmöFF
Simon Olsson,Midfielder,0.14431411229135052,24,IFElfsborg
Saku Ylätupa,Forward,0.10135463414634145,22,AIK
Laorent Shabani,Midfielder,0.12741784463894965,22,IKSiriusFK
Abdelrahman Saidi,Forward,0.2230541638083974,22,DegerforsIF
Anders Bleg Christiansen,Midfielder,0.3583491117092866,31,MalmöFF
Marcus Berg,Forward,0.4500841771356784,35,IFKGöteborg
Bénie Adama Traoré,Forward,0.23825933890577508,19,BKHäcken
Filip Sachpekidis,Forward,0.2578153115100316,24,KalmarFF
Kevin Yakob,Midfielder,0.3076565819397993,21,IFKGöteborg
